id,tourney_name
22858099,Galaxies Championship
56263764,TFT Open Championship 6: Kuaishou Finals
23752029,Hex Tour: NémaCup - Open Qualifier
47650653,Mortdog Madness: 4v4
29568058,TFT Open Championship 7: Community Clash - Tieba
46682264,Northern Legends: Inkborn Fables - Qualifier #3
10902090,Remix Rumble: Liga Remix - Qualfier
54926416,TFT Open Championship 5: Huya Warrior Cup Season 3
56278454,LVLUP: Set 10 - Master Cup #1 Open Qualifier
54991304,Runeterra Reforged: NA Freljord Cup
44171981,Rising Legends: Remix Rumble - Golden Spatula Cup #2
98088483,Runeterra Reforged: East Asian Finals - OCE Lobby
14079892,Camino a Las Vegas
97734076,Legends Cup: Galaxies
71183718,Rising Legends: Dragonlands - Golden Spatula Cup #3
72858895,Remix Rumble: Road to SEA Finals
2129911,ProLegends Stage 1 2022 - Board Masters #6
21975986,TFT Open Championship 6: Sentinel Finals - Douyu Supreme Cup
61354792,TFT Open Championship 4: Bilibili Finals
42301193,TFT Open Championship 4: Douyu Heroes Cup Season 1
36203660,Hex League: Set 8.5 - Up & Down
79477074,Rising Legends: Inkborn Fables - Open Qualifier #1
96006478,AfreecaTV Series: Dragonlands - Finals
84064565,ProLegends Stage 2 2022 - Board Masters #1
7248954,AfreecaTV Series: Reckoning - Finals #1
26077169,Runeterra Reforged: OCE Sion Open Qualifier
23302757,Gizmos & Gadgets: Oceania - Challenger Series #2
59591059,Runeterra Reforged: OCE Sejuani Open Qualifier
45443058,Monsters Attack: Vietnam Open Qualifier #3
71984967,TFT Open Championship 6: Sentinel Finals
265718,TFT Open Championship 2: Regional Finals
60126370,Monsters Attack: OCE Regional LCQ
55891298,Star Cup Romania: Magic n' Mayhem - Open Qualifier #2
29231188,Remix Rumble: AF Open Invitational - Season 2
12714452,Rising Legends: Runeterra Reforged - Golden Spatula Cup #2
33734330,Runeterra Reforged: DCSX Cyber
11765176,Remix Rumble: East Asian Finals
98543905,Red Bull: Rise of the Elements Invitational
28766966,Remix Rumble: Philippines Grand Master Cup S10
46061738,Monsters Attack: Corrupted Cup
76754861,Monsters Attack: Vietnam Open Qualifier #4
14699753,FIRST IGNITION
47087821,CN TFT Set 9 Smart Girl Series
8872392,Remix Rumble: DCSX Cyber
62851120,Monsters Attack: North America Regional Finals
33321707,Rising Legends: Runeterra Reforged - Superbrawl
82981253,TFT Open Championship 4: Regional Finals
8512572,Runeterra Reforged: East Asian Finals - KR Lobby
15764955,TFT Open Championship 4: Huya Qualifier
88548541,Allie Coin Pro-Am
80823329,Runeterra Reforged: OCE Karma Open Qualifier
16504287,Runeterra Reforged: SEA Regional Cup #1
28752867,TFT Open Championship 6: NGA Community Finals
1097237,Monsters Attack: Annie Open Qualifier
61948419,Inkborn Fables: VN Tactician Trials #3
4524980,Star Cup Romania: Remix Rumble - Open Qualifier #2
27463791,TFT Open Championship 3: NetCafe Wanyoo - North Finals
83261332,AfreecaTV Series: Inkborn Fables - BJ Qualifier #2
46534780,TFT Open Championship 8: Summit Cup #2
77264810,Giant Slayer Series 3
10111777,Rising Legends: Remix Rumble - Open Qualifier #2
96173809,Dragonlands: Jade Cup
57376658,TFT Open Championship 8: Douyu Heroes Cup Season 5
33090182,Hex League: Split 2 - Relegation
91066541,TFT Open Championship 8: Regional Finals
69133645,International Double Up Invitational
82232389,TFT Open Championship 6: Sentinel Finals - Huya Huanmie Cup
55746228,Runeterra Reforged: Road to SEA Finals #1
3895774,Rising Legends: Inkborn Fables - Golden Spatula Cup #2
30058344,LVLUP: Set 11 - High Level #2
27023773,Inkborn Fables: KR Tactician Trials #2
77896916,Rising Legends: Runeterra Reforged - Open Qualifier #1
33338025,Rising Legends: Runeterra Reforged - Open Qualifier #3
75087110,TPC S9 Open Qualifier Finals
69053676,Esports World Cup 2024: Americas Closed Qualifier
41007766,Inkborn Fables: Americas Tactician's Cup #2
21683696,Runeterra Reforged: NA Noxus Cup
35860328,The Chosen One - Regional Open Qualifier
92482400,Northern Legends: Remix Rumble - Qualifier #1
4341096,Rising Legends: Monsters Attack - Open Qualifier #2
20719994,XD Star Cup: Inkborn Fables - Split 2
75071466,RoEMEA: Remix Rumble - Qualifier #2
74228839,LVLUP: Set 11 - High Level #1
2248390,ProLegends Stage 1 2023 - Finals
18169766,INVEN CUP: TFT Galaxies
72572203,Reckoning Championship
79863935,JCC Open Championship 5: Regional Finals
93307187,TFT Open Championship 1: Regional Finals
71542310,Gizmos & Gadgets: NA Challenger Series #2
8730358,TFT Open Championship 4: NetCafe Wanyoo - South Finals
63274453,AfreecaTV Series: Remix Rumble - BJ Qualifier #1
92186875,TFT Open Championship 5: Legendary Cup - Kuaishou Qualifier
68983213,Monsters Attack: SEA Regional Cup #2
91571460,Remix Rumble: TPC Challenger Qualifier
49109470,TFT Macao Open
71143700,Runeterra Reforged: OCE Regional LCQ #2
14084897,Inkborn Fables: APAC Tactician's Cup #3
32137634,PGL International Series #3
47598100,Huya Warrior Esports Cup
89113739,Rising Legends: Dragonlands - Golden Spatula Cup #2
12237539,TFT Open Championship 6: Sentinel Finals - Bilibili Dragon Cup
30053474,TFT Open Championship 6: Bilibili Finals
49390366,Gizmos & Gadgets: Latin America Finals
62405886,A1 eSports TFT Cup: Fall
26161534,Dragonlands: Latin America Finals
90628171,Gizmos & Gadgets: NA Mid-Set Finale
88210716,TFT Open Championship 5: Douyu Heroes Cup Season 2
47048690,A1 eSports Prismatic Legends: Season 1 - Open Qualifier 2
15967145,Runeterra Reforged: Philippines Grand Master Cup
44262314,Mortdog Madness: Top 4
5655714,Inkborn Fables: APAC Tactician's Cup #1
55919357,TFT Open Championship 5: Mythic Cup - Huya Qualifier
87701735,TFT Open Championship 7: Summit Cup #3
8403143,Fates: Challenger Series #1
51831839,AfreecaTV Series: Reckoning - Finals #2
86089003,Dragonlands: Western Last Chance Qualifier
11254899,EMEA: Fates - Finals
34856982,TFT Champions Cup: CN 4th Year Invitational
54550544,TFT Open Championship 3: Regional LCQ
87146340,Monsters Attack: Vietnam Open Qualifier #2
16021101,AfreecaTV Series: Remix Rumble - Loser Bracket
22572901,Funiu Cup: Douyu Finals
99707773,Reckoning: Nightbringer Cup
32455929,TFT Open Championship 3: Huya Warrior Cup Season 1
92825329,Galaxies: Latin America Finals
32388631,LVLUP: Set 10 - Master Cup #2 Open Qualifier
36971583,Monsters Attack: Mid-Set Finale
64689498,TFT Open Championship 3: NetCafe Wanyoo - South Finals
78551443,Gizmos & Gadgets: NA Zaun Cup
90127220,ProLegends Stage 2 2021 - Last Chance Qualifier
89304749,Runeterra Reforged: NA Regional Finals
90688781,TFT Open Championship 6: Regional Finals
87352466,ProLegends Stage 2 2023 - Finals
47996994,ProLegends Stage 2 2021 - Finals
69470971,Fandom Legends Invitational: Week 4
71009022,Monsters Attack: Defender Cup
4237337,Dragonlands: Astral Cup
31647004,ProLegends Stage 2 2023 - Road to Pro Open Qualifier #3
18241082,Galaxies: Latin America North Finals
43797181,AfreecaTV TFT Streamers Battle Asia Invitational 2023
97703891,AfreecaTV Series: Monsters Attack! Glitched Out!!! - Finals
85991955,Monsters Attack: Vietnam Open Qualifier #1
24311384,JCC Open Championship 5: Regional LCQ
88491203,Monsters Attack! Championship
23319177,Remix Rumble: OCE Regional LCQ
88066219,Double Trouble
96831368,Remix Rumble: East Asian Finals - OCE Lobby
67046662,Runeterra Reforged: East Asian Finals - JP Lobby
28040122,Dragonlands: Eastern Last Chance Qualifier
8865856,Rising Legends: Gizmos & Gadgets - Superbrawl
4672214,Asian Cup: Gizmos & Gadgets
22737812,TFT Open Championship 4: Regional LCQ
48530802,Remix Rumble: OCE Senna Open Qualifier
58651983,TFT Open Championship 2: NetCafe Wanyoo - East Finals
58675632,Reckoning: North America Finals
97437332,Fates: Challenger Series #6
72380463,Hex League: Set 9 - Up & Down
56765526,Fates: Oceania - Finals
97681805,AfreecaTV Series: Reckoning - Finals #3
63794734,Rising Legends: Remix Rumble - Finals
95145095,Inkborn Fables: Americas Tactician's Cup #1
97997514,ProLegends Stage 1 2024 - Open Qualifier #1
70185902,Northern Legends: Remix Rumble - Qualifier #2
11130082,WDG TFT Tournament Asian Cup Korea Qualifier
94675487,Galaxies: OCENA Finals
42831392,TFT Vegas Open
30787551,Runeterra Reforged: Philippines Grand Master Cup S8
64325157,Hex League: Split 1 - Relegation
23172804,Funiu Cup: Regional Finals
6893910,Inkborn Fables: Americas Golden Spatula
79555192,TFT Open Championship 7: Regional LCQ
85820081,TFT Open Championship 8: Huya CoLiN Selection Cup
68987461,Fates: Challenger Series #3
52614162,TFT Open Championship 5: NetCafe Wanyoo Arena
41225254,Remix Rumble: East Asian Finals - JP Lobby
34243078,Monsters Attack: Eastern Last Chance Qualifier
97644440,Esports World Cup 2024: EMEA Closed Qualifier
30236743,Rising Legends: Runeterra Reforged - Golden Spatula Cup #3
92976267,WDG TFT Tournament Asian Cup Japan Qualifier
14351227,Yükselme Serisi: Inkborn Fables - Qualifier #3
79693755,Fates: NA Regional Finals
77484002,AfreecaTV Series: Fates - Finals
73333350,Star Cup Romania: Remix Rumble - Open Qualifier #1
20977221,Runeterra Reforged Championship
50258988,Remix Rumble: LATAM Closed Qualifier
5469627,Fresh Cup #5: Online Stage
32755554,TFT Open Championship 7: Regional Finals
74007656,Monsters Attack! East Asian Finals
70442564,DreamHack Hannover 2022
43165286,AfreecaTV Series: Inkborn Fables - Open Qualifier #2
55733561,TFT Open Championship 5: Regional Finals
16255936,Monster Attack: Asian Cup - Japan Qualifier
2732714,AfreecaTV Series: Remix Rumble - Open Qualifier #1
45766974,TFT Open Championship 7: Summit Cup #1
683585,Giant Slayer Lab Partners
71079555,TFT Open Championship 6: NetCafe Wanyoo Arena
47575164,TFT Open Championship 5: NetCafe League Finals
33254275,Runeterra Reforged: AF Open Invitational - Season 1
61434047,Dragonlands: North America Regional Finals
27654767,Esports World Cup 2024: China Closed Qualifier
22737164,AfreecaTV Series: Fates: FestiIval Of Beasts - Finals
97734897,Gizmos & Gadgets: Japan Finals
45818797,TFT Open Championship 8: Kuaishou Finals
27182493,TFT Open Championship 3: Regional Finals
86435964,Fates: Challenger Series #4
49225906,ProLegends Stage 2 2022 - Board Masters #3
9735859,TFT Open Championship 7: Bilibili Finals
25702176,ProLegends Stage 2 2022 - Board Masters #4
30372284,Remix Rumble: East Asian Finals - JP Qualifier
57576063,Rising Legends: Gizmos & Gadgets - Golden Spatula Cup #1
12966753,Esports World Cup 2024: APAC Closed Qualifier
46843294,XD Star Cup: Inkborn Fables - Split 3
13879530,Inkborn Fables Tactician's Crown
87148710,Remix Rumble: LATAM Open Qualifier LAN #1
65240400,Reckoning: Mid-Set Invitational
79549900,Monsters Attack: Spellslinger Cup
63153809,Mortdog Madness: Neon Nights
72244113,AfreecaTV Series: Remix Rumble - Finals #2
76058908,Inkborn Fables: KR Tactician Trials #1
51128460,Rising Legends: Runeterra Reforged - Finals
48911740,Inkborn Fables: Americas Tactician's Cup #3
24361570,Monsters Attack: Kayle Open Qualifier
82136114,TFT Open Championship 5: Mythic Cup
25114318,Reckoning: Japan Finals
87782652,Fates: Challenger Series #8
70506779,Super League: Set 11 - Tormenta Spatula #2
40152668,Northern Legends: Magic n' Mayhem - Qualifier #1
14114055,Gizmos & Gadgets: NA Challenger Series #1
86388183,Fates NA Qualifier #3
17367112,XD Star Cup: Inkborn Fables - Split 1
3592595,Rising Legends: Remix Rumble - Golden Spatula Cup #1
70809356,TFT Summit: Monsters Attack!
9406488,ProLegends Stage 1 2024 - Finals
74824169,Galaxies: Turkey Finals
18322753,Inkborn Fables: APAC Tactician Trials #1
47470614,Fates Championship
17374829,EMEA: Reckoning - Finals
71696874,RoEMEA: Inkborn Fables - Qualifier #1
74894072,Star Cup Romania: Inkborn Fables - Open Qualifier #2
80650900,AfreecaTV Series: Runeterra Reforged: Horizon Bound - Finals
8973156,Rising Legends: Monsters Attack - Golden Spatula Cup #1
98901373,The Chosen One - Regional Open Qualifier #2
87541867,CN TFT Set 9 Smart Girl Series - Huya WTOC
82152382,AfreecaTV Series: Gizmos & Gadgets: Neon Nights - Finals
65650944,LVLUP: Set 10 - High Level #1
946599,XD Star Cup: Remix Rumble - Open Qualifier #2
54914166,PBE Clash: Dragonlands
36314810,Remix Rumble: TPC Open Qualifier
17909245,Inkborn Fables: Americas Tactician Trials #1
77531044,JCC Open Championship 5: Challenger Cup
16865337,Rising Legends: Inkborn Fables - Golden Spatula Cup #1
93817392,Legends Cup: Reckoning
34754949,Asian Cup: Dragonlands
8538866,TFT Open Championship 4: Dragon Cup
19734823,Northern Legends: Magic n' Mayhem - Qualifier #3
93970549,Rising Legends: Dragonlands - Golden Spatula Cup #1
12185769,TFT Open Championship 7: Community Clash
49717444,Hex Tour: Open Qualifier #2
32319560,Runeterra Reforged: Road to SEA Finals #2
33722587,ProLegends Stage 2 2021 - Board Masters #1
75047054,TFT Open Championship 8: Summit Invitational
24761371,Iguana PBE Masters: 2nd Edition
76578791,TFT Open Championship 5: Legendary Cup - Huya Defender Cup
49693419,TFT Open Championship 3: NetCafe Wanyoo - East Finals
14436766,Yükselme Serisi: Inkborn Fables - Qualifier #1
88646962,ProLegends Stage 1 2022 - Board Masters #3
31616191,TFT Open Championship 6: Regional LCQ
10812830,Dragonlands: Mid-Set Finale
71556627,RoEMEA: Magic n' Mayhem - Qualifier #2
86536474,TFT Open Championship 7: Community Clash - NGA
34625238,Monsters Attack: Samira Open Qualifier
29380642,Northern Legends: Magic n' Mayhem - Qualifier #2
15572172,Super League: Set 11 - Tormenta Spatula #3
59817252,A1 eSports Prismatic Legends: Season 2 - GSC Elimination
10537871,Fates: Japan Finals
78431906,Inkborn Fables Tactician's Crown - CN Qualifier
94351280,TFT Open Championship 5: Legendary Cup
15008376,Runeterra Reforged: East Asian Finals - JP Qualifier
17231490,Rising Legends: Dragonlands - Superbrawl
98991479,Runeterra Reforged: NA Last Chance Qualifier
77726006,Fates: Latin America Finals
24009700,TFT Open Championship 8: Super Server Finals
30327414,TFT Open Championship 5: Regional LCQ
24417205,Remix Rumble: Heartsteel Cup
68534214,Hex Tour: Gamers Assembly - Open Qualifier
63868469,ProLegends Stage 1 2022 - Board Masters #2
92858522,TFT Open Championship 5: Legendary Cup - Douyu Qualifier
28223926,Gizmos & Gadgets: Western Last Chance Qualifier
42333251,Hex League: Set 9.5 - Up & Down
44847923,Legends Cup: Dragonlands
59338379,Inkborn Fables: Americas Tactician Trials #2
66257265,Fandom Legends Invitational: Week 3
67678646,Fandom Legends Invitational: Week 1
11884184,Runeterra Reforged: Vietnam Open Qualifier #1
90922503,Monster Attack: East Asian Finals - Japan Qualifier
56774562,Remix Rumble: TPC Ticket Competition
93914435,ProLegends Stage 2 2022 - Board Masters #2
98924217,AfreecaTV Series: Remix Rumble - BJ Qualifier #2
46491309,TFT Open Championship 4: NetCafe Wanyoo - East Finals
2806984,LVLUP: Set 11 - High Level #3
30908903,Gizmos & Gadgets: NA Innovation Cup
46999811,TFT Open Championship 7: Huya Warrior Cup Season 5
37644788,TPC S9.5 Challenger Qualifier
79188223,Runeterra Reforged: SEA Regional Cup #2
50135013,Inkborn Fables: DTXV Cyber #2
98035790,Fates: Challenger Series #5
25503135,Hex Tour: Ultimate Maestro - Open Qualifier
59265516,TFT Open Championship 6: Huya Warrior Cup Season 4 - Qualifier
28321531,TFT Asian Championship 2021
54823886,TPC S9.5 Ticket Competition
1529968,TFT Open Championship 8: Summit Cup #3
66467725,TFT Open Championship 6: Douyu Heroes Cup Season 3
96388311,Rising Legends: Gizmos & Gadgets - Golden Spatula Cup #2
12740381,AfreecaTV Series: Gizmos & Gadgets - Finals
39000127,Liga Rúnica: National Finals - Online Stage
76584715,Fates: Oceania - Closed Qualifier #1
44741997,Inkborn Fables: APAC Tactician Trials #2
84506249,JCC Open Championship 3: Regional Finals
17375639,Dragonlands: OCE Regional Finals
64611352,Inkborn Fables: APAC Golden Spatula
97852964,TFT Open Championship 3: Douyu Finals
40081768,ProLegends Stage 2 2021 - Board Masters #4
26819213,ProLegends Stage 2 2022 - Board Masters #5
68109368,Rising Legends: Inkborn Fables - Finals
26659646,Gizmos & Gadgets: Arcanist Cup
14304568,TFT Open Championship 7: Douyu Heroes Cup Season 4
11208671,Liga Dracónica
81333437,Fates: Oceania - Closed Qualifier #2
74549319,Gizmos & Gadgets: Mid‑Set Invitational
90688331,ProLegends Stage 2 2021 - Board Masters #2
59633165,Runeterra Reforged: Invoker Cup
92824705,Dragonlands: Mid-Set Invitational
36165518,Rising Legends: Gizmos & Gadgets - Golden Spatula Cup #3
63574429,ProLegends Stage 1 2024 - Open Qualifier #2
77450710,Yükselme Serisi: Remix Rumble - Qualifier #1
1900559,TFT Open Championship 7: Summit Cup #2
32516807,RoEMEA: Remix Rumble - Qualifier #1
30156712,Fates NA Qualifier #1
22135375,Inkborn Fables: APAC Tactician's Cup #2
13403035,XD Star Cup: Remix Rumble - Open Qualifier #1
40410246,The Chosen One - Streamers Battle S2
25291710,EMEA: Galaxies - Finals
75410405,ProLegends Stage 2 2023 - Last Chance Qualifier
41724216,Magic n Mayhem: KR Tactician Trials #2
4126039,Magic n Mayhem: VN Tactician Trials #2
99083515,Magic n Mayhem: APAC Tactician's Cup #2
90287824,Magic n Mayhem: VN Tactician Trials #3
45964718,Magic n Mayhem: APAC Tactician's Cup #3
54781875,Magic n Mayhem: APAC Tactician's Cup #1
12767150,Magic n Mayhem: APAC Golden Spatula
84284964,Magic n Mayhem: APAC Tactician Trials #3
91205504,Magic n Mayhem: KR Tactician Trials #3
56362588,Magic n Mayhem: APAC Tactician Trials #1
79864293,Magic n Mayhem: APAC Tactician Trials #2
73669264,Magic n Mayhem: KR Tactician Trials #1
32282802,Magic n Mayhem: VN Tactician Trials #1
63133341,TFT Open Championship 9: Magic League
